PING jamilin.com (50.116.70.236) 56(84) bytes of data.
64 bytes from 50.116.70.236: icmp_seq=39 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=40 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=41 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=42 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=43 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=44 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=45 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=46 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=47 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=48 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=49 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=50 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=51 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=52 ttl=42 time=125 ms
64 bytes from 50.116.70.236: icmp_seq=53 ttl=42 time=128 ms
64 bytes from 50.116.70.236: icmp_seq=54 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=55 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=56 ttl=42 time=126 ms
64 bytes from 50.116.70.236: icmp_seq=57 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=58 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=59 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=60 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=61 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=62 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=63 ttl=42 time=126 ms
64 bytes from 50.116.70.236: icmp_seq=64 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=65 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=66 ttl=42 time=124 ms
64 bytes from 50.116.70.236: icmp_seq=67 ttl=42 time=126 ms
64 bytes from 50.116.70.236: icmp_seq=68 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=69 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=70 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=71 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=72 ttl=42 time=128 ms
64 bytes from 50.116.70.236: icmp_seq=73 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=74 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=75 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=76 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=77 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=78 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=79 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=80 ttl=42 time=122 ms
64 bytes from 50.116.70.236: icmp_seq=81 ttl=42 time=124 ms
64 bytes from 50.116.70.236: icmp_seq=82 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=83 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=84 ttl=42 time=122 ms
64 bytes from 50.116.70.236: icmp_seq=85 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=86 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=87 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=88 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=89 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=90 ttl=42 time=122 ms
64 bytes from 50.116.70.236: icmp_seq=91 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=92 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=93 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=94 ttl=42 time=124 ms
64 bytes from 50.116.70.236: icmp_seq=95 ttl=42 time=126 ms
64 bytes from 50.116.70.236: icmp_seq=96 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=97 ttl=42 time=122 ms
64 bytes from 50.116.70.236: icmp_seq=98 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=99 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=100 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=101 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=102 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=103 ttl=42 time=124 ms
64 bytes from 50.116.70.236: icmp_seq=104 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=105 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=106 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=107 ttl=42 time=122 ms
64 bytes from 50.116.70.236: icmp_seq=108 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=109 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=110 ttl=42 time=126 ms
