PING just.edu.so (108.167.165.61) 56(84) bytes of data.
64 bytes from 108.167.165.61: icmp_seq=1 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=2 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=3 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=4 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=5 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=6 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=7 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=8 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=9 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=10 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=11 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=12 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=13 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=14 ttl=36 time=134 ms
64 bytes from 108.167.165.61: icmp_seq=15 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=16 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=17 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=18 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=19 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=20 ttl=36 time=134 ms
64 bytes from 108.167.165.61: icmp_seq=21 ttl=36 time=133 ms
64 bytes from 108.167.165.61: icmp_seq=22 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=23 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=24 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=25 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=26 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=27 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=28 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=29 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=30 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=31 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=32 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=33 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=34 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=35 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=36 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=37 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=38 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=39 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=40 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=41 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=42 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=43 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=44 ttl=36 time=143 ms
64 bytes from 108.167.165.61: icmp_seq=45 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=46 ttl=36 time=138 ms
64 bytes from 108.167.165.61: icmp_seq=47 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=48 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=49 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=50 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=51 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=52 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=53 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=54 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=55 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=56 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=57 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=58 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=59 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=60 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=61 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=62 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=63 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=64 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=65 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=66 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=67 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=68 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=69 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=70 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=71 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=72 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=73 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=74 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=75 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=76 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=77 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=78 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=79 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=80 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=81 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=82 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=83 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=84 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=85 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=86 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=87 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=88 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=89 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=90 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=91 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=92 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=93 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=94 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=95 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=96 ttl=36 time=133 ms
64 bytes from 108.167.165.61: icmp_seq=97 ttl=36 time=134 ms
64 bytes from 108.167.165.61: icmp_seq=98 ttl=36 time=133 ms
