PING www.clubedochoro.com.br (104.18.32.151) 56(84) bytes of data.
64 bytes from 104.18.32.151: icmp_seq=1 ttl=53 time=17.0 ms
64 bytes from 104.18.32.151: icmp_seq=2 ttl=53 time=9.76 ms
64 bytes from 104.18.32.151: icmp_seq=3 ttl=53 time=7.52 ms
64 bytes from 104.18.32.151: icmp_seq=4 ttl=53 time=8.03 ms
64 bytes from 104.18.32.151: icmp_seq=5 ttl=53 time=15.2 ms
64 bytes from 104.18.32.151: icmp_seq=6 ttl=53 time=7.52 ms
64 bytes from 104.18.32.151: icmp_seq=7 ttl=53 time=7.40 ms
64 bytes from 104.18.32.151: icmp_seq=8 ttl=53 time=8.81 ms
64 bytes from 104.18.32.151: icmp_seq=9 ttl=53 time=10.3 ms
64 bytes from 104.18.32.151: icmp_seq=10 ttl=53 time=11.5 ms
64 bytes from 104.18.32.151: icmp_seq=11 ttl=53 time=8.52 ms
64 bytes from 104.18.32.151: icmp_seq=12 ttl=53 time=7.76 ms
64 bytes from 104.18.32.151: icmp_seq=13 ttl=53 time=7.59 ms
64 bytes from 104.18.32.151: icmp_seq=14 ttl=53 time=7.90 ms
64 bytes from 104.18.32.151: icmp_seq=15 ttl=53 time=8.44 ms
64 bytes from 104.18.32.151: icmp_seq=16 ttl=53 time=8.83 ms
64 bytes from 104.18.32.151: icmp_seq=17 ttl=53 time=11.0 ms
64 bytes from 104.18.32.151: icmp_seq=18 ttl=53 time=12.3 ms
64 bytes from 104.18.32.151: icmp_seq=19 ttl=53 time=13.9 ms
64 bytes from 104.18.32.151: icmp_seq=20 ttl=53 time=10.3 ms
64 bytes from 104.18.32.151: icmp_seq=21 ttl=53 time=14.6 ms
64 bytes from 104.18.32.151: icmp_seq=22 ttl=53 time=8.00 ms
64 bytes from 104.18.32.151: icmp_seq=23 ttl=53 time=7.56 ms
64 bytes from 104.18.32.151: icmp_seq=24 ttl=53 time=10.1 ms
64 bytes from 104.18.32.151: icmp_seq=25 ttl=53 time=7.42 ms
64 bytes from 104.18.32.151: icmp_seq=26 ttl=53 time=7.81 ms
64 bytes from 104.18.32.151: icmp_seq=27 ttl=53 time=14.5 ms
64 bytes from 104.18.32.151: icmp_seq=28 ttl=53 time=7.54 ms
64 bytes from 104.18.32.151: icmp_seq=29 ttl=53 time=7.88 ms
64 bytes from 104.18.32.151: icmp_seq=30 ttl=53 time=9.33 ms
64 bytes from 104.18.32.151: icmp_seq=31 ttl=53 time=11.3 ms
64 bytes from 104.18.32.151: icmp_seq=32 ttl=53 time=12.3 ms
64 bytes from 104.18.32.151: icmp_seq=33 ttl=53 time=12.4 ms
64 bytes from 104.18.32.151: icmp_seq=34 ttl=53 time=12.7 ms
64 bytes from 104.18.32.151: icmp_seq=35 ttl=53 time=10.9 ms
64 bytes from 104.18.32.151: icmp_seq=36 ttl=53 time=8.93 ms
64 bytes from 104.18.32.151: icmp_seq=37 ttl=53 time=8.64 ms
64 bytes from 104.18.32.151: icmp_seq=38 ttl=53 time=7.72 ms
64 bytes from 104.18.32.151: icmp_seq=39 ttl=53 time=8.25 ms
64 bytes from 104.18.32.151: icmp_seq=40 ttl=53 time=7.47 ms
64 bytes from 104.18.32.151: icmp_seq=41 ttl=53 time=10.7 ms
64 bytes from 104.18.32.151: icmp_seq=42 ttl=53 time=7.56 ms
64 bytes from 104.18.32.151: icmp_seq=43 ttl=53 time=9.17 ms
