PING www.clubedochoro.com.br (104.18.32.151) 56(84) bytes of data.
64 bytes from 104.18.32.151: icmp_seq=44 ttl=53 time=12.5 ms
64 bytes from 104.18.32.151: icmp_seq=45 ttl=53 time=7.90 ms
64 bytes from 104.18.32.151: icmp_seq=46 ttl=53 time=8.79 ms
64 bytes from 104.18.32.151: icmp_seq=47 ttl=53 time=7.68 ms
64 bytes from 104.18.32.151: icmp_seq=48 ttl=53 time=7.59 ms
64 bytes from 104.18.32.151: icmp_seq=49 ttl=53 time=8.33 ms
64 bytes from 104.18.32.151: icmp_seq=50 ttl=53 time=13.1 ms
64 bytes from 104.18.32.151: icmp_seq=51 ttl=53 time=14.5 ms
64 bytes from 104.18.32.151: icmp_seq=52 ttl=53 time=15.6 ms
64 bytes from 104.18.32.151: icmp_seq=53 ttl=53 time=9.00 ms
64 bytes from 104.18.32.151: icmp_seq=54 ttl=53 time=8.37 ms
64 bytes from 104.18.32.151: icmp_seq=55 ttl=53 time=9.82 ms
64 bytes from 104.18.32.151: icmp_seq=56 ttl=53 time=10.9 ms
64 bytes from 104.18.32.151: icmp_seq=57 ttl=53 time=9.86 ms
64 bytes from 104.18.32.151: icmp_seq=58 ttl=53 time=8.01 ms
64 bytes from 104.18.32.151: icmp_seq=59 ttl=53 time=7.89 ms
64 bytes from 104.18.32.151: icmp_seq=60 ttl=53 time=7.49 ms
64 bytes from 104.18.32.151: icmp_seq=61 ttl=53 time=7.70 ms
64 bytes from 104.18.32.151: icmp_seq=62 ttl=53 time=7.82 ms
64 bytes from 104.18.32.151: icmp_seq=63 ttl=53 time=8.58 ms
64 bytes from 104.18.32.151: icmp_seq=64 ttl=53 time=10.3 ms
64 bytes from 104.18.32.151: icmp_seq=65 ttl=53 time=7.53 ms
64 bytes from 104.18.32.151: icmp_seq=66 ttl=53 time=12.2 ms
64 bytes from 104.18.32.151: icmp_seq=67 ttl=53 time=11.5 ms
64 bytes from 104.18.32.151: icmp_seq=68 ttl=53 time=9.97 ms
64 bytes from 104.18.32.151: icmp_seq=69 ttl=53 time=8.37 ms
64 bytes from 104.18.32.151: icmp_seq=70 ttl=53 time=7.45 ms
64 bytes from 104.18.32.151: icmp_seq=71 ttl=53 time=7.99 ms
64 bytes from 104.18.32.151: icmp_seq=72 ttl=53 time=8.09 ms
64 bytes from 104.18.32.151: icmp_seq=73 ttl=53 time=9.07 ms
64 bytes from 104.18.32.151: icmp_seq=74 ttl=53 time=11.1 ms
64 bytes from 104.18.32.151: icmp_seq=75 ttl=53 time=7.35 ms
64 bytes from 104.18.32.151: icmp_seq=76 ttl=53 time=8.27 ms
64 bytes from 104.18.32.151: icmp_seq=77 ttl=53 time=9.64 ms
64 bytes from 104.18.32.151: icmp_seq=78 ttl=53 time=10.6 ms
64 bytes from 104.18.32.151: icmp_seq=79 ttl=53 time=7.91 ms
64 bytes from 104.18.32.151: icmp_seq=80 ttl=53 time=7.62 ms
64 bytes from 104.18.32.151: icmp_seq=81 ttl=53 time=8.25 ms
64 bytes from 104.18.32.151: icmp_seq=82 ttl=53 time=7.84 ms
64 bytes from 104.18.32.151: icmp_seq=83 ttl=53 time=8.75 ms
64 bytes from 104.18.32.151: icmp_seq=84 ttl=53 time=7.33 ms
64 bytes from 104.18.32.151: icmp_seq=85 ttl=53 time=7.84 ms
64 bytes from 104.18.32.151: icmp_seq=86 ttl=53 time=8.92 ms
64 bytes from 104.18.32.151: icmp_seq=87 ttl=53 time=11.1 ms
64 bytes from 104.18.32.151: icmp_seq=88 ttl=53 time=7.61 ms
64 bytes from 104.18.32.151: icmp_seq=89 ttl=53 time=7.81 ms
64 bytes from 104.18.32.151: icmp_seq=90 ttl=53 time=9.19 ms
64 bytes from 104.18.32.151: icmp_seq=91 ttl=53 time=8.20 ms
64 bytes from 104.18.32.151: icmp_seq=92 ttl=53 time=8.15 ms
64 bytes from 104.18.32.151: icmp_seq=93 ttl=53 time=10.0 ms
64 bytes from 104.18.32.151: icmp_seq=94 ttl=53 time=13.3 ms
64 bytes from 104.18.32.151: icmp_seq=95 ttl=53 time=14.9 ms
64 bytes from 104.18.32.151: icmp_seq=96 ttl=53 time=16.0 ms
64 bytes from 104.18.32.151: icmp_seq=97 ttl=53 time=7.80 ms
64 bytes from 104.18.32.151: icmp_seq=98 ttl=53 time=8.37 ms
64 bytes from 104.18.32.151: icmp_seq=99 ttl=53 time=9.54 ms
64 bytes from 104.18.32.151: icmp_seq=100 ttl=53 time=11.6 ms
64 bytes from 104.18.32.151: icmp_seq=101 ttl=53 time=12.5 ms
64 bytes from 104.18.32.151: icmp_seq=102 ttl=53 time=11.0 ms
64 bytes from 104.18.32.151: icmp_seq=103 ttl=53 time=8.38 ms
64 bytes from 104.18.32.151: icmp_seq=104 ttl=53 time=8.76 ms
64 bytes from 104.18.32.151: icmp_seq=105 ttl=53 time=7.59 ms
64 bytes from 104.18.32.151: icmp_seq=106 ttl=53 time=9.39 ms
64 bytes from 104.18.32.151: icmp_seq=107 ttl=53 time=10.3 ms
64 bytes from 104.18.32.151: icmp_seq=108 ttl=53 time=11.7 ms
64 bytes from 104.18.32.151: icmp_seq=109 ttl=53 time=13.4 ms
64 bytes from 104.18.32.151: icmp_seq=110 ttl=53 time=13.7 ms
64 bytes from 104.18.32.151: icmp_seq=111 ttl=53 time=12.0 ms
64 bytes from 104.18.32.151: icmp_seq=112 ttl=53 time=11.5 ms
64 bytes from 104.18.32.151: icmp_seq=113 ttl=53 time=7.93 ms
64 bytes from 104.18.32.151: icmp_seq=114 ttl=53 time=8.18 ms
64 bytes from 104.18.32.151: icmp_seq=115 ttl=53 time=7.83 ms
64 bytes from 104.18.32.151: icmp_seq=116 ttl=53 time=7.95 ms
64 bytes from 104.18.32.151: icmp_seq=117 ttl=53 time=11.3 ms
64 bytes from 104.18.32.151: icmp_seq=118 ttl=53 time=10.9 ms
64 bytes from 104.18.32.151: icmp_seq=119 ttl=53 time=11.2 ms
64 bytes from 104.18.32.151: icmp_seq=120 ttl=53 time=11.0 ms

--- www.clubedochoro.com.br ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119160ms
rtt min/avg/max/mdev = 7.335/9.756/17.094/2.304 ms
