PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=59 ttl=52 time=7.17 ms
64 bytes from 93.184.220.23: icmp_seq=60 ttl=52 time=9.32 ms
64 bytes from 93.184.220.23: icmp_seq=61 ttl=52 time=7.46 ms
64 bytes from 93.184.220.23: icmp_seq=62 ttl=52 time=8.43 ms
64 bytes from 93.184.220.23: icmp_seq=63 ttl=52 time=7.09 ms
64 bytes from 93.184.220.23: icmp_seq=64 ttl=52 time=13.1 ms
64 bytes from 93.184.220.23: icmp_seq=65 ttl=52 time=8.80 ms
64 bytes from 93.184.220.23: icmp_seq=66 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=67 ttl=52 time=8.95 ms
64 bytes from 93.184.220.23: icmp_seq=68 ttl=52 time=7.73 ms
64 bytes from 93.184.220.23: icmp_seq=69 ttl=52 time=9.19 ms
64 bytes from 93.184.220.23: icmp_seq=70 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=71 ttl=52 time=7.94 ms
64 bytes from 93.184.220.23: icmp_seq=72 ttl=52 time=7.73 ms
64 bytes from 93.184.220.23: icmp_seq=73 ttl=52 time=9.88 ms
64 bytes from 93.184.220.23: icmp_seq=74 ttl=52 time=13.6 ms
64 bytes from 93.184.220.23: icmp_seq=75 ttl=52 time=9.67 ms
64 bytes from 93.184.220.23: icmp_seq=76 ttl=52 time=7.58 ms
64 bytes from 93.184.220.23: icmp_seq=77 ttl=52 time=7.07 ms
64 bytes from 93.184.220.23: icmp_seq=78 ttl=52 time=7.28 ms
64 bytes from 93.184.220.23: icmp_seq=79 ttl=52 time=7.04 ms
64 bytes from 93.184.220.23: icmp_seq=80 ttl=52 time=7.36 ms
64 bytes from 93.184.220.23: icmp_seq=81 ttl=52 time=8.13 ms
64 bytes from 93.184.220.23: icmp_seq=82 ttl=52 time=7.53 ms
64 bytes from 93.184.220.23: icmp_seq=83 ttl=52 time=7.12 ms
64 bytes from 93.184.220.23: icmp_seq=84 ttl=52 time=7.91 ms
64 bytes from 93.184.220.23: icmp_seq=85 ttl=52 time=8.81 ms
64 bytes from 93.184.220.23: icmp_seq=86 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=87 ttl=52 time=10.9 ms
64 bytes from 93.184.220.23: icmp_seq=88 ttl=52 time=9.98 ms
64 bytes from 93.184.220.23: icmp_seq=89 ttl=52 time=9.02 ms
64 bytes from 93.184.220.23: icmp_seq=90 ttl=52 time=7.49 ms
64 bytes from 93.184.220.23: icmp_seq=91 ttl=52 time=7.16 ms
64 bytes from 93.184.220.23: icmp_seq=92 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=93 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=94 ttl=52 time=10.7 ms
64 bytes from 93.184.220.23: icmp_seq=95 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=96 ttl=52 time=7.31 ms
64 bytes from 93.184.220.23: icmp_seq=97 ttl=52 time=8.14 ms
64 bytes from 93.184.220.23: icmp_seq=98 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=99 ttl=52 time=7.67 ms
64 bytes from 93.184.220.23: icmp_seq=100 ttl=52 time=11.7 ms
64 bytes from 93.184.220.23: icmp_seq=101 ttl=52 time=8.72 ms
64 bytes from 93.184.220.23: icmp_seq=102 ttl=52 time=8.86 ms
64 bytes from 93.184.220.23: icmp_seq=103 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=104 ttl=52 time=8.40 ms
64 bytes from 93.184.220.23: icmp_seq=105 ttl=52 time=9.48 ms
64 bytes from 93.184.220.23: icmp_seq=106 ttl=52 time=7.22 ms
64 bytes from 93.184.220.23: icmp_seq=107 ttl=52 time=8.43 ms
64 bytes from 93.184.220.23: icmp_seq=108 ttl=52 time=7.66 ms
64 bytes from 93.184.220.23: icmp_seq=109 ttl=52 time=9.96 ms
64 bytes from 93.184.220.23: icmp_seq=110 ttl=52 time=9.77 ms
64 bytes from 93.184.220.23: icmp_seq=111 ttl=52 time=7.88 ms
64 bytes from 93.184.220.23: icmp_seq=112 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=113 ttl=52 time=7.39 ms
64 bytes from 93.184.220.23: icmp_seq=114 ttl=52 time=7.52 ms
64 bytes from 93.184.220.23: icmp_seq=115 ttl=52 time=9.62 ms
64 bytes from 93.184.220.23: icmp_seq=116 ttl=52 time=7.37 ms
64 bytes from 93.184.220.23: icmp_seq=117 ttl=52 time=9.60 ms
64 bytes from 93.184.220.23: icmp_seq=118 ttl=52 time=13.2 ms
64 bytes from 93.184.220.23: icmp_seq=119 ttl=52 time=14.5 ms
64 bytes from 93.184.220.23: icmp_seq=120 ttl=52 time=8.88 ms

--- cs3.gs1.wac.edgecastcdn.net ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119157ms
rtt min/avg/max/mdev = 7.042/9.186/16.216/1.917 ms
