PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=1 ttl=52 time=7.31 ms
64 bytes from 93.184.220.23: icmp_seq=2 ttl=52 time=7.11 ms
64 bytes from 93.184.220.23: icmp_seq=3 ttl=52 time=9.16 ms
64 bytes from 93.184.220.23: icmp_seq=4 ttl=52 time=7.73 ms
64 bytes from 93.184.220.23: icmp_seq=5 ttl=52 time=8.18 ms
64 bytes from 93.184.220.23: icmp_seq=6 ttl=52 time=9.02 ms
64 bytes from 93.184.220.23: icmp_seq=7 ttl=52 time=8.17 ms
64 bytes from 93.184.220.23: icmp_seq=8 ttl=52 time=7.10 ms
64 bytes from 93.184.220.23: icmp_seq=9 ttl=52 time=7.27 ms
64 bytes from 93.184.220.23: icmp_seq=10 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=11 ttl=52 time=9.66 ms
64 bytes from 93.184.220.23: icmp_seq=12 ttl=52 time=7.04 ms
64 bytes from 93.184.220.23: icmp_seq=13 ttl=52 time=14.7 ms
64 bytes from 93.184.220.23: icmp_seq=14 ttl=52 time=9.79 ms
64 bytes from 93.184.220.23: icmp_seq=15 ttl=52 time=7.89 ms
64 bytes from 93.184.220.23: icmp_seq=16 ttl=52 time=7.37 ms
64 bytes from 93.184.220.23: icmp_seq=17 ttl=52 time=7.81 ms
64 bytes from 93.184.220.23: icmp_seq=18 ttl=52 time=9.61 ms
64 bytes from 93.184.220.23: icmp_seq=19 ttl=52 time=9.29 ms
64 bytes from 93.184.220.23: icmp_seq=20 ttl=52 time=7.82 ms
64 bytes from 93.184.220.23: icmp_seq=21 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=22 ttl=52 time=14.1 ms
64 bytes from 93.184.220.23: icmp_seq=23 ttl=52 time=16.2 ms
64 bytes from 93.184.220.23: icmp_seq=24 ttl=52 time=7.92 ms
64 bytes from 93.184.220.23: icmp_seq=25 ttl=52 time=9.73 ms
64 bytes from 93.184.220.23: icmp_seq=26 ttl=52 time=11.0 ms
64 bytes from 93.184.220.23: icmp_seq=27 ttl=52 time=12.7 ms
64 bytes from 93.184.220.23: icmp_seq=28 ttl=52 time=12.8 ms
64 bytes from 93.184.220.23: icmp_seq=29 ttl=52 time=10.9 ms
64 bytes from 93.184.220.23: icmp_seq=30 ttl=52 time=9.97 ms
64 bytes from 93.184.220.23: icmp_seq=31 ttl=52 time=7.60 ms
64 bytes from 93.184.220.23: icmp_seq=32 ttl=52 time=7.33 ms
64 bytes from 93.184.220.23: icmp_seq=33 ttl=52 time=9.62 ms
64 bytes from 93.184.220.23: icmp_seq=34 ttl=52 time=8.07 ms
64 bytes from 93.184.220.23: icmp_seq=35 ttl=52 time=7.97 ms
64 bytes from 93.184.220.23: icmp_seq=36 ttl=52 time=10.4 ms
64 bytes from 93.184.220.23: icmp_seq=37 ttl=52 time=11.1 ms
64 bytes from 93.184.220.23: icmp_seq=38 ttl=52 time=7.14 ms
64 bytes from 93.184.220.23: icmp_seq=39 ttl=52 time=10.0 ms
64 bytes from 93.184.220.23: icmp_seq=40 ttl=52 time=9.94 ms
64 bytes from 93.184.220.23: icmp_seq=41 ttl=52 time=8.47 ms
64 bytes from 93.184.220.23: icmp_seq=42 ttl=52 time=7.20 ms
64 bytes from 93.184.220.23: icmp_seq=43 ttl=52 time=9.74 ms
64 bytes from 93.184.220.23: icmp_seq=44 ttl=52 time=7.11 ms
64 bytes from 93.184.220.23: icmp_seq=45 ttl=52 time=7.33 ms
64 bytes from 93.184.220.23: icmp_seq=46 ttl=52 time=7.39 ms
64 bytes from 93.184.220.23: icmp_seq=47 ttl=52 time=8.23 ms
64 bytes from 93.184.220.23: icmp_seq=48 ttl=52 time=9.32 ms
64 bytes from 93.184.220.23: icmp_seq=49 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=50 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=51 ttl=52 time=11.5 ms
64 bytes from 93.184.220.23: icmp_seq=52 ttl=52 time=7.20 ms
64 bytes from 93.184.220.23: icmp_seq=53 ttl=52 time=8.77 ms
64 bytes from 93.184.220.23: icmp_seq=54 ttl=52 time=7.94 ms
64 bytes from 93.184.220.23: icmp_seq=55 ttl=52 time=8.39 ms
64 bytes from 93.184.220.23: icmp_seq=56 ttl=52 time=11.5 ms
64 bytes from 93.184.220.23: icmp_seq=57 ttl=52 time=12.2 ms
64 bytes from 93.184.220.23: icmp_seq=58 ttl=52 time=11.3 ms
