PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=1 ttl=52 time=9.56 ms
64 bytes from 93.184.220.23: icmp_seq=2 ttl=52 time=7.07 ms
64 bytes from 93.184.220.23: icmp_seq=3 ttl=52 time=8.45 ms
64 bytes from 93.184.220.23: icmp_seq=4 ttl=52 time=7.16 ms
64 bytes from 93.184.220.23: icmp_seq=5 ttl=52 time=8.18 ms
64 bytes from 93.184.220.23: icmp_seq=6 ttl=52 time=7.27 ms
64 bytes from 93.184.220.23: icmp_seq=7 ttl=52 time=8.29 ms
64 bytes from 93.184.220.23: icmp_seq=8 ttl=52 time=9.25 ms
64 bytes from 93.184.220.23: icmp_seq=9 ttl=52 time=7.46 ms
64 bytes from 93.184.220.23: icmp_seq=10 ttl=52 time=7.70 ms
64 bytes from 93.184.220.23: icmp_seq=11 ttl=52 time=8.99 ms
64 bytes from 93.184.220.23: icmp_seq=12 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=13 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=14 ttl=52 time=9.11 ms
64 bytes from 93.184.220.23: icmp_seq=15 ttl=52 time=7.77 ms
64 bytes from 93.184.220.23: icmp_seq=16 ttl=52 time=11.4 ms
64 bytes from 93.184.220.23: icmp_seq=17 ttl=52 time=10.4 ms
64 bytes from 93.184.220.23: icmp_seq=18 ttl=52 time=7.11 ms
64 bytes from 93.184.220.23: icmp_seq=19 ttl=52 time=7.29 ms
64 bytes from 93.184.220.23: icmp_seq=20 ttl=52 time=7.25 ms
64 bytes from 93.184.220.23: icmp_seq=21 ttl=52 time=7.98 ms
64 bytes from 93.184.220.23: icmp_seq=22 ttl=52 time=7.23 ms
64 bytes from 93.184.220.23: icmp_seq=23 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=24 ttl=52 time=9.85 ms
64 bytes from 93.184.220.23: icmp_seq=25 ttl=52 time=9.96 ms
64 bytes from 93.184.220.23: icmp_seq=26 ttl=52 time=7.16 ms
64 bytes from 93.184.220.23: icmp_seq=27 ttl=52 time=8.59 ms
64 bytes from 93.184.220.23: icmp_seq=28 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=29 ttl=52 time=8.65 ms
64 bytes from 93.184.220.23: icmp_seq=30 ttl=52 time=11.3 ms
64 bytes from 93.184.220.23: icmp_seq=31 ttl=52 time=13.9 ms
