PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=1 ttl=52 time=9.44 ms
64 bytes from 93.184.220.23: icmp_seq=2 ttl=52 time=11.8 ms
64 bytes from 93.184.220.23: icmp_seq=3 ttl=52 time=7.25 ms
64 bytes from 93.184.220.23: icmp_seq=4 ttl=52 time=9.17 ms
64 bytes from 93.184.220.23: icmp_seq=5 ttl=52 time=8.44 ms
64 bytes from 93.184.220.23: icmp_seq=6 ttl=52 time=11.7 ms
64 bytes from 93.184.220.23: icmp_seq=7 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=8 ttl=52 time=9.95 ms
64 bytes from 93.184.220.23: icmp_seq=9 ttl=52 time=7.97 ms
64 bytes from 93.184.220.23: icmp_seq=10 ttl=52 time=7.12 ms
64 bytes from 93.184.220.23: icmp_seq=11 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=12 ttl=52 time=9.56 ms
64 bytes from 93.184.220.23: icmp_seq=13 ttl=52 time=9.52 ms
64 bytes from 93.184.220.23: icmp_seq=14 ttl=52 time=11.9 ms
64 bytes from 93.184.220.23: icmp_seq=15 ttl=52 time=9.84 ms
64 bytes from 93.184.220.23: icmp_seq=16 ttl=52 time=7.47 ms
64 bytes from 93.184.220.23: icmp_seq=17 ttl=52 time=10.6 ms
64 bytes from 93.184.220.23: icmp_seq=18 ttl=52 time=7.36 ms
64 bytes from 93.184.220.23: icmp_seq=19 ttl=52 time=8.11 ms
64 bytes from 93.184.220.23: icmp_seq=20 ttl=52 time=7.43 ms
64 bytes from 93.184.220.23: icmp_seq=21 ttl=52 time=8.94 ms
64 bytes from 93.184.220.23: icmp_seq=22 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=23 ttl=52 time=10.2 ms
64 bytes from 93.184.220.23: icmp_seq=24 ttl=52 time=9.45 ms
64 bytes from 93.184.220.23: icmp_seq=25 ttl=52 time=7.48 ms
64 bytes from 93.184.220.23: icmp_seq=26 ttl=52 time=8.48 ms
64 bytes from 93.184.220.23: icmp_seq=27 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=28 ttl=52 time=8.27 ms
64 bytes from 93.184.220.23: icmp_seq=29 ttl=52 time=11.8 ms
64 bytes from 93.184.220.23: icmp_seq=30 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=31 ttl=52 time=8.93 ms
64 bytes from 93.184.220.23: icmp_seq=32 ttl=52 time=10.0 ms
64 bytes from 93.184.220.23: icmp_seq=33 ttl=52 time=8.64 ms
64 bytes from 93.184.220.23: icmp_seq=34 ttl=52 time=9.01 ms
64 bytes from 93.184.220.23: icmp_seq=35 ttl=52 time=11.2 ms
64 bytes from 93.184.220.23: icmp_seq=36 ttl=52 time=12.6 ms
64 bytes from 93.184.220.23: icmp_seq=37 ttl=52 time=8.10 ms
64 bytes from 93.184.220.23: icmp_seq=38 ttl=52 time=15.1 ms
64 bytes from 93.184.220.23: icmp_seq=39 ttl=52 time=14.0 ms
64 bytes from 93.184.220.23: icmp_seq=40 ttl=52 time=7.96 ms
