PING www.clubedochoro.com.br (104.18.33.151) 56(84) bytes of data.
64 bytes from 104.18.33.151: icmp_seq=82 ttl=53 time=9.90 ms
64 bytes from 104.18.33.151: icmp_seq=83 ttl=53 time=10.5 ms
64 bytes from 104.18.33.151: icmp_seq=84 ttl=53 time=10.3 ms
64 bytes from 104.18.33.151: icmp_seq=85 ttl=53 time=9.65 ms
64 bytes from 104.18.33.151: icmp_seq=86 ttl=53 time=7.51 ms
64 bytes from 104.18.33.151: icmp_seq=87 ttl=53 time=9.42 ms
64 bytes from 104.18.33.151: icmp_seq=88 ttl=53 time=8.70 ms
64 bytes from 104.18.33.151: icmp_seq=89 ttl=53 time=8.03 ms
64 bytes from 104.18.33.151: icmp_seq=90 ttl=53 time=7.93 ms
64 bytes from 104.18.33.151: icmp_seq=91 ttl=53 time=10.4 ms
64 bytes from 104.18.33.151: icmp_seq=92 ttl=53 time=8.91 ms
64 bytes from 104.18.33.151: icmp_seq=93 ttl=53 time=7.44 ms
64 bytes from 104.18.33.151: icmp_seq=94 ttl=53 time=8.28 ms
64 bytes from 104.18.33.151: icmp_seq=95 ttl=53 time=7.41 ms
64 bytes from 104.18.33.151: icmp_seq=96 ttl=53 time=11.3 ms
64 bytes from 104.18.33.151: icmp_seq=97 ttl=53 time=12.2 ms
64 bytes from 104.18.33.151: icmp_seq=98 ttl=53 time=9.23 ms
64 bytes from 104.18.33.151: icmp_seq=99 ttl=53 time=9.28 ms
64 bytes from 104.18.33.151: icmp_seq=100 ttl=53 time=7.44 ms
64 bytes from 104.18.33.151: icmp_seq=101 ttl=53 time=8.28 ms
64 bytes from 104.18.33.151: icmp_seq=102 ttl=53 time=11.6 ms
64 bytes from 104.18.33.151: icmp_seq=103 ttl=53 time=14.3 ms
64 bytes from 104.18.33.151: icmp_seq=104 ttl=53 time=8.72 ms
64 bytes from 104.18.33.151: icmp_seq=105 ttl=53 time=8.04 ms
64 bytes from 104.18.33.151: icmp_seq=106 ttl=53 time=7.94 ms
64 bytes from 104.18.33.151: icmp_seq=107 ttl=53 time=9.23 ms
64 bytes from 104.18.33.151: icmp_seq=108 ttl=53 time=7.88 ms
64 bytes from 104.18.33.151: icmp_seq=109 ttl=53 time=7.71 ms
64 bytes from 104.18.33.151: icmp_seq=110 ttl=53 time=14.7 ms
64 bytes from 104.18.33.151: icmp_seq=111 ttl=53 time=7.75 ms
64 bytes from 104.18.33.151: icmp_seq=112 ttl=53 time=9.03 ms
64 bytes from 104.18.33.151: icmp_seq=113 ttl=53 time=8.66 ms
64 bytes from 104.18.33.151: icmp_seq=114 ttl=53 time=7.41 ms
64 bytes from 104.18.33.151: icmp_seq=115 ttl=53 time=7.41 ms
64 bytes from 104.18.33.151: icmp_seq=116 ttl=53 time=10.9 ms
64 bytes from 104.18.33.151: icmp_seq=117 ttl=53 time=12.7 ms
64 bytes from 104.18.33.151: icmp_seq=118 ttl=53 time=14.6 ms
64 bytes from 104.18.33.151: icmp_seq=119 ttl=53 time=7.41 ms
64 bytes from 104.18.33.151: icmp_seq=120 ttl=53 time=8.31 ms

--- www.clubedochoro.com.br ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119132ms
rtt min/avg/max/mdev = 7.315/9.611/16.048/2.120 ms
