PING www.clubedochoro.com.br (104.18.33.151) 56(84) bytes of data.
64 bytes from 104.18.33.151: icmp_seq=1 ttl=53 time=9.44 ms
64 bytes from 104.18.33.151: icmp_seq=2 ttl=53 time=7.45 ms
64 bytes from 104.18.33.151: icmp_seq=3 ttl=53 time=9.27 ms
64 bytes from 104.18.33.151: icmp_seq=4 ttl=53 time=10.0 ms
64 bytes from 104.18.33.151: icmp_seq=5 ttl=53 time=7.47 ms
64 bytes from 104.18.33.151: icmp_seq=6 ttl=53 time=7.34 ms
64 bytes from 104.18.33.151: icmp_seq=7 ttl=53 time=7.38 ms
64 bytes from 104.18.33.151: icmp_seq=8 ttl=53 time=11.7 ms
64 bytes from 104.18.33.151: icmp_seq=9 ttl=53 time=14.7 ms
64 bytes from 104.18.33.151: icmp_seq=10 ttl=53 time=7.31 ms
64 bytes from 104.18.33.151: icmp_seq=11 ttl=53 time=8.06 ms
64 bytes from 104.18.33.151: icmp_seq=12 ttl=53 time=7.66 ms
64 bytes from 104.18.33.151: icmp_seq=13 ttl=53 time=12.4 ms
64 bytes from 104.18.33.151: icmp_seq=14 ttl=53 time=8.17 ms
64 bytes from 104.18.33.151: icmp_seq=15 ttl=53 time=14.8 ms
64 bytes from 104.18.33.151: icmp_seq=16 ttl=53 time=15.1 ms
64 bytes from 104.18.33.151: icmp_seq=17 ttl=53 time=8.07 ms
64 bytes from 104.18.33.151: icmp_seq=18 ttl=53 time=10.3 ms
64 bytes from 104.18.33.151: icmp_seq=19 ttl=53 time=11.4 ms
64 bytes from 104.18.33.151: icmp_seq=20 ttl=53 time=7.83 ms
64 bytes from 104.18.33.151: icmp_seq=21 ttl=53 time=7.91 ms
64 bytes from 104.18.33.151: icmp_seq=22 ttl=53 time=15.6 ms
64 bytes from 104.18.33.151: icmp_seq=23 ttl=53 time=11.7 ms
64 bytes from 104.18.33.151: icmp_seq=24 ttl=53 time=8.61 ms
64 bytes from 104.18.33.151: icmp_seq=25 ttl=53 time=10.0 ms
64 bytes from 104.18.33.151: icmp_seq=26 ttl=53 time=11.6 ms
64 bytes from 104.18.33.151: icmp_seq=27 ttl=53 time=13.1 ms
64 bytes from 104.18.33.151: icmp_seq=28 ttl=53 time=13.4 ms
64 bytes from 104.18.33.151: icmp_seq=29 ttl=53 time=9.73 ms
64 bytes from 104.18.33.151: icmp_seq=30 ttl=53 time=10.5 ms
64 bytes from 104.18.33.151: icmp_seq=31 ttl=53 time=7.79 ms
64 bytes from 104.18.33.151: icmp_seq=32 ttl=53 time=9.72 ms
64 bytes from 104.18.33.151: icmp_seq=33 ttl=53 time=11.1 ms
64 bytes from 104.18.33.151: icmp_seq=34 ttl=53 time=12.1 ms
64 bytes from 104.18.33.151: icmp_seq=35 ttl=53 time=11.3 ms
64 bytes from 104.18.33.151: icmp_seq=36 ttl=53 time=10.0 ms
64 bytes from 104.18.33.151: icmp_seq=37 ttl=53 time=9.40 ms
64 bytes from 104.18.33.151: icmp_seq=38 ttl=53 time=8.15 ms
64 bytes from 104.18.33.151: icmp_seq=39 ttl=53 time=8.00 ms
64 bytes from 104.18.33.151: icmp_seq=40 ttl=53 time=12.4 ms
64 bytes from 104.18.33.151: icmp_seq=41 ttl=53 time=11.7 ms
64 bytes from 104.18.33.151: icmp_seq=42 ttl=53 time=10.2 ms
64 bytes from 104.18.33.151: icmp_seq=43 ttl=53 time=8.97 ms
64 bytes from 104.18.33.151: icmp_seq=44 ttl=53 time=7.71 ms
64 bytes from 104.18.33.151: icmp_seq=45 ttl=53 time=9.27 ms
64 bytes from 104.18.33.151: icmp_seq=46 ttl=53 time=11.0 ms
64 bytes from 104.18.33.151: icmp_seq=47 ttl=53 time=7.44 ms
64 bytes from 104.18.33.151: icmp_seq=48 ttl=53 time=8.00 ms
64 bytes from 104.18.33.151: icmp_seq=49 ttl=53 time=11.6 ms
64 bytes from 104.18.33.151: icmp_seq=50 ttl=53 time=8.59 ms
64 bytes from 104.18.33.151: icmp_seq=51 ttl=53 time=9.95 ms
64 bytes from 104.18.33.151: icmp_seq=52 ttl=53 time=7.55 ms
64 bytes from 104.18.33.151: icmp_seq=53 ttl=53 time=7.66 ms
64 bytes from 104.18.33.151: icmp_seq=54 ttl=53 time=8.63 ms
64 bytes from 104.18.33.151: icmp_seq=55 ttl=53 time=8.11 ms
64 bytes from 104.18.33.151: icmp_seq=56 ttl=53 time=7.67 ms
64 bytes from 104.18.33.151: icmp_seq=57 ttl=53 time=8.40 ms
64 bytes from 104.18.33.151: icmp_seq=58 ttl=53 time=9.18 ms
64 bytes from 104.18.33.151: icmp_seq=59 ttl=53 time=8.16 ms
64 bytes from 104.18.33.151: icmp_seq=60 ttl=53 time=8.63 ms
64 bytes from 104.18.33.151: icmp_seq=61 ttl=53 time=9.50 ms
64 bytes from 104.18.33.151: icmp_seq=62 ttl=53 time=12.1 ms
64 bytes from 104.18.33.151: icmp_seq=63 ttl=53 time=12.2 ms
64 bytes from 104.18.33.151: icmp_seq=64 ttl=53 time=9.39 ms
64 bytes from 104.18.33.151: icmp_seq=65 ttl=53 time=9.00 ms
64 bytes from 104.18.33.151: icmp_seq=66 ttl=53 time=8.79 ms
64 bytes from 104.18.33.151: icmp_seq=67 ttl=53 time=7.53 ms
64 bytes from 104.18.33.151: icmp_seq=68 ttl=53 time=10.5 ms
64 bytes from 104.18.33.151: icmp_seq=69 ttl=53 time=9.39 ms
64 bytes from 104.18.33.151: icmp_seq=70 ttl=53 time=7.97 ms
64 bytes from 104.18.33.151: icmp_seq=71 ttl=53 time=7.50 ms
64 bytes from 104.18.33.151: icmp_seq=72 ttl=53 time=16.0 ms
64 bytes from 104.18.33.151: icmp_seq=73 ttl=53 time=7.79 ms
64 bytes from 104.18.33.151: icmp_seq=74 ttl=53 time=8.41 ms
64 bytes from 104.18.33.151: icmp_seq=75 ttl=53 time=9.59 ms
64 bytes from 104.18.33.151: icmp_seq=76 ttl=53 time=9.98 ms
64 bytes from 104.18.33.151: icmp_seq=77 ttl=53 time=9.11 ms
64 bytes from 104.18.33.151: icmp_seq=78 ttl=53 time=7.86 ms
64 bytes from 104.18.33.151: icmp_seq=79 ttl=53 time=10.3 ms
64 bytes from 104.18.33.151: icmp_seq=80 ttl=53 time=7.94 ms
64 bytes from 104.18.33.151: icmp_seq=81 ttl=53 time=7.44 ms
