PING www.clubedochoro.com.br (104.18.32.151) 56(84) bytes of data.
64 bytes from 104.18.32.151: icmp_seq=73 ttl=53 time=8.57 ms
64 bytes from 104.18.32.151: icmp_seq=74 ttl=53 time=10.5 ms
64 bytes from 104.18.32.151: icmp_seq=75 ttl=53 time=11.4 ms
64 bytes from 104.18.32.151: icmp_seq=76 ttl=53 time=9.54 ms
64 bytes from 104.18.32.151: icmp_seq=77 ttl=53 time=9.07 ms
64 bytes from 104.18.32.151: icmp_seq=78 ttl=53 time=7.89 ms
64 bytes from 104.18.32.151: icmp_seq=79 ttl=53 time=8.44 ms
64 bytes from 104.18.32.151: icmp_seq=80 ttl=53 time=7.97 ms
64 bytes from 104.18.32.151: icmp_seq=81 ttl=53 time=9.70 ms
64 bytes from 104.18.32.151: icmp_seq=82 ttl=53 time=10.1 ms
64 bytes from 104.18.32.151: icmp_seq=83 ttl=53 time=8.96 ms
64 bytes from 104.18.32.151: icmp_seq=84 ttl=53 time=12.5 ms
64 bytes from 104.18.32.151: icmp_seq=85 ttl=53 time=7.38 ms
64 bytes from 104.18.32.151: icmp_seq=86 ttl=53 time=10.4 ms
64 bytes from 104.18.32.151: icmp_seq=87 ttl=53 time=7.57 ms
64 bytes from 104.18.32.151: icmp_seq=88 ttl=53 time=7.58 ms
64 bytes from 104.18.32.151: icmp_seq=89 ttl=53 time=9.01 ms
64 bytes from 104.18.32.151: icmp_seq=90 ttl=53 time=7.30 ms
64 bytes from 104.18.32.151: icmp_seq=91 ttl=53 time=12.0 ms
64 bytes from 104.18.32.151: icmp_seq=92 ttl=53 time=9.30 ms
64 bytes from 104.18.32.151: icmp_seq=93 ttl=53 time=12.5 ms
64 bytes from 104.18.32.151: icmp_seq=94 ttl=53 time=10.9 ms
64 bytes from 104.18.32.151: icmp_seq=95 ttl=53 time=8.52 ms
64 bytes from 104.18.32.151: icmp_seq=96 ttl=53 time=7.41 ms
64 bytes from 104.18.32.151: icmp_seq=97 ttl=53 time=9.28 ms
64 bytes from 104.18.32.151: icmp_seq=98 ttl=53 time=7.39 ms
64 bytes from 104.18.32.151: icmp_seq=99 ttl=53 time=7.53 ms
64 bytes from 104.18.32.151: icmp_seq=100 ttl=53 time=9.15 ms
64 bytes from 104.18.32.151: icmp_seq=101 ttl=53 time=10.2 ms
64 bytes from 104.18.32.151: icmp_seq=102 ttl=53 time=7.86 ms
64 bytes from 104.18.32.151: icmp_seq=103 ttl=53 time=11.5 ms
64 bytes from 104.18.32.151: icmp_seq=104 ttl=53 time=9.70 ms
64 bytes from 104.18.32.151: icmp_seq=105 ttl=53 time=9.04 ms
64 bytes from 104.18.32.151: icmp_seq=106 ttl=53 time=9.27 ms
64 bytes from 104.18.32.151: icmp_seq=107 ttl=53 time=8.34 ms
64 bytes from 104.18.32.151: icmp_seq=108 ttl=53 time=15.2 ms
64 bytes from 104.18.32.151: icmp_seq=109 ttl=53 time=16.0 ms
64 bytes from 104.18.32.151: icmp_seq=110 ttl=53 time=7.37 ms
64 bytes from 104.18.32.151: icmp_seq=111 ttl=53 time=9.04 ms
64 bytes from 104.18.32.151: icmp_seq=112 ttl=53 time=10.7 ms
64 bytes from 104.18.32.151: icmp_seq=113 ttl=53 time=11.7 ms
64 bytes from 104.18.32.151: icmp_seq=114 ttl=53 time=7.40 ms
64 bytes from 104.18.32.151: icmp_seq=115 ttl=53 time=11.0 ms
64 bytes from 104.18.32.151: icmp_seq=116 ttl=53 time=8.54 ms
64 bytes from 104.18.32.151: icmp_seq=117 ttl=53 time=10.2 ms
64 bytes from 104.18.32.151: icmp_seq=118 ttl=53 time=8.51 ms
64 bytes from 104.18.32.151: icmp_seq=119 ttl=53 time=7.72 ms
64 bytes from 104.18.32.151: icmp_seq=120 ttl=53 time=7.84 ms

--- www.clubedochoro.com.br ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119157ms
rtt min/avg/max/mdev = 7.301/9.852/16.027/2.231 ms
