PING www.clubedochoro.com.br (104.18.33.151) 56(84) bytes of data.
64 bytes from 104.18.33.151: icmp_seq=1 ttl=53 time=7.95 ms
64 bytes from 104.18.33.151: icmp_seq=2 ttl=53 time=8.17 ms
64 bytes from 104.18.33.151: icmp_seq=3 ttl=53 time=9.62 ms
64 bytes from 104.18.33.151: icmp_seq=4 ttl=53 time=11.2 ms
64 bytes from 104.18.33.151: icmp_seq=5 ttl=53 time=7.66 ms
64 bytes from 104.18.33.151: icmp_seq=6 ttl=53 time=11.1 ms
64 bytes from 104.18.33.151: icmp_seq=7 ttl=53 time=7.64 ms
64 bytes from 104.18.33.151: icmp_seq=8 ttl=53 time=9.07 ms
64 bytes from 104.18.33.151: icmp_seq=9 ttl=53 time=7.96 ms
64 bytes from 104.18.33.151: icmp_seq=10 ttl=53 time=10.9 ms
64 bytes from 104.18.33.151: icmp_seq=11 ttl=53 time=9.56 ms
64 bytes from 104.18.33.151: icmp_seq=12 ttl=53 time=10.1 ms
64 bytes from 104.18.33.151: icmp_seq=13 ttl=53 time=8.20 ms
64 bytes from 104.18.33.151: icmp_seq=14 ttl=53 time=7.94 ms
64 bytes from 104.18.33.151: icmp_seq=15 ttl=53 time=8.57 ms
64 bytes from 104.18.33.151: icmp_seq=16 ttl=53 time=10.7 ms
64 bytes from 104.18.33.151: icmp_seq=17 ttl=53 time=7.42 ms
64 bytes from 104.18.33.151: icmp_seq=18 ttl=53 time=9.64 ms
64 bytes from 104.18.33.151: icmp_seq=19 ttl=53 time=9.01 ms
64 bytes from 104.18.33.151: icmp_seq=20 ttl=53 time=7.79 ms
64 bytes from 104.18.33.151: icmp_seq=21 ttl=53 time=7.54 ms
64 bytes from 104.18.33.151: icmp_seq=22 ttl=53 time=7.33 ms
64 bytes from 104.18.33.151: icmp_seq=23 ttl=53 time=9.00 ms
64 bytes from 104.18.33.151: icmp_seq=24 ttl=53 time=9.08 ms
64 bytes from 104.18.33.151: icmp_seq=25 ttl=53 time=8.52 ms
64 bytes from 104.18.33.151: icmp_seq=26 ttl=53 time=8.98 ms
64 bytes from 104.18.33.151: icmp_seq=27 ttl=53 time=7.54 ms
64 bytes from 104.18.33.151: icmp_seq=28 ttl=53 time=9.16 ms
64 bytes from 104.18.33.151: icmp_seq=29 ttl=53 time=9.17 ms
64 bytes from 104.18.33.151: icmp_seq=30 ttl=53 time=10.1 ms
64 bytes from 104.18.33.151: icmp_seq=31 ttl=53 time=10.2 ms
64 bytes from 104.18.33.151: icmp_seq=32 ttl=53 time=9.00 ms
64 bytes from 104.18.33.151: icmp_seq=33 ttl=53 time=8.35 ms
64 bytes from 104.18.33.151: icmp_seq=34 ttl=53 time=7.91 ms
64 bytes from 104.18.33.151: icmp_seq=35 ttl=53 time=7.81 ms
64 bytes from 104.18.33.151: icmp_seq=36 ttl=53 time=9.00 ms
64 bytes from 104.18.33.151: icmp_seq=37 ttl=53 time=8.90 ms
64 bytes from 104.18.33.151: icmp_seq=38 ttl=53 time=7.69 ms
64 bytes from 104.18.33.151: icmp_seq=39 ttl=53 time=8.64 ms
64 bytes from 104.18.33.151: icmp_seq=40 ttl=53 time=8.18 ms
64 bytes from 104.18.33.151: icmp_seq=41 ttl=53 time=10.0 ms
64 bytes from 104.18.33.151: icmp_seq=42 ttl=53 time=8.17 ms
64 bytes from 104.18.33.151: icmp_seq=43 ttl=53 time=8.83 ms
64 bytes from 104.18.33.151: icmp_seq=44 ttl=53 time=8.63 ms
64 bytes from 104.18.33.151: icmp_seq=45 ttl=53 time=8.06 ms
