PING www.clubedochoro.com.br (104.18.33.151) 56(84) bytes of data.
64 bytes from 104.18.33.151: icmp_seq=46 ttl=53 time=8.12 ms
64 bytes from 104.18.33.151: icmp_seq=47 ttl=53 time=8.20 ms
64 bytes from 104.18.33.151: icmp_seq=48 ttl=53 time=8.18 ms
64 bytes from 104.18.33.151: icmp_seq=49 ttl=53 time=8.02 ms
64 bytes from 104.18.33.151: icmp_seq=50 ttl=53 time=7.88 ms
64 bytes from 104.18.33.151: icmp_seq=51 ttl=53 time=7.58 ms
64 bytes from 104.18.33.151: icmp_seq=52 ttl=53 time=8.77 ms
64 bytes from 104.18.33.151: icmp_seq=53 ttl=53 time=7.59 ms
64 bytes from 104.18.33.151: icmp_seq=54 ttl=53 time=10.7 ms
64 bytes from 104.18.33.151: icmp_seq=55 ttl=53 time=9.87 ms
64 bytes from 104.18.33.151: icmp_seq=56 ttl=53 time=11.4 ms
64 bytes from 104.18.33.151: icmp_seq=57 ttl=53 time=7.31 ms
64 bytes from 104.18.33.151: icmp_seq=58 ttl=53 time=9.55 ms
64 bytes from 104.18.33.151: icmp_seq=59 ttl=53 time=9.38 ms
64 bytes from 104.18.33.151: icmp_seq=60 ttl=53 time=8.06 ms
64 bytes from 104.18.33.151: icmp_seq=61 ttl=53 time=7.36 ms
64 bytes from 104.18.33.151: icmp_seq=62 ttl=53 time=12.6 ms
64 bytes from 104.18.33.151: icmp_seq=63 ttl=53 time=7.87 ms
64 bytes from 104.18.33.151: icmp_seq=64 ttl=53 time=8.68 ms
64 bytes from 104.18.33.151: icmp_seq=65 ttl=53 time=7.53 ms
64 bytes from 104.18.33.151: icmp_seq=66 ttl=53 time=11.7 ms
64 bytes from 104.18.33.151: icmp_seq=67 ttl=53 time=8.34 ms
64 bytes from 104.18.33.151: icmp_seq=68 ttl=53 time=11.1 ms
64 bytes from 104.18.33.151: icmp_seq=69 ttl=53 time=7.95 ms
64 bytes from 104.18.33.151: icmp_seq=70 ttl=53 time=9.44 ms
64 bytes from 104.18.33.151: icmp_seq=71 ttl=53 time=8.15 ms
64 bytes from 104.18.33.151: icmp_seq=72 ttl=53 time=7.88 ms
64 bytes from 104.18.33.151: icmp_seq=73 ttl=53 time=8.64 ms
64 bytes from 104.18.33.151: icmp_seq=74 ttl=53 time=12.7 ms
64 bytes from 104.18.33.151: icmp_seq=75 ttl=53 time=7.54 ms
64 bytes from 104.18.33.151: icmp_seq=76 ttl=53 time=8.47 ms
64 bytes from 104.18.33.151: icmp_seq=77 ttl=53 time=10.1 ms
64 bytes from 104.18.33.151: icmp_seq=78 ttl=53 time=11.7 ms
64 bytes from 104.18.33.151: icmp_seq=79 ttl=53 time=11.4 ms
64 bytes from 104.18.33.151: icmp_seq=80 ttl=53 time=9.36 ms
64 bytes from 104.18.33.151: icmp_seq=81 ttl=53 time=8.97 ms
64 bytes from 104.18.33.151: icmp_seq=82 ttl=53 time=8.02 ms
64 bytes from 104.18.33.151: icmp_seq=83 ttl=53 time=8.55 ms
64 bytes from 104.18.33.151: icmp_seq=84 ttl=53 time=9.23 ms
64 bytes from 104.18.33.151: icmp_seq=85 ttl=53 time=11.2 ms
64 bytes from 104.18.33.151: icmp_seq=86 ttl=53 time=12.4 ms
64 bytes from 104.18.33.151: icmp_seq=87 ttl=53 time=13.5 ms
64 bytes from 104.18.33.151: icmp_seq=88 ttl=53 time=14.5 ms
64 bytes from 104.18.33.151: icmp_seq=89 ttl=53 time=9.23 ms
64 bytes from 104.18.33.151: icmp_seq=90 ttl=53 time=7.43 ms
64 bytes from 104.18.33.151: icmp_seq=91 ttl=53 time=9.06 ms
64 bytes from 104.18.33.151: icmp_seq=92 ttl=53 time=10.1 ms
64 bytes from 104.18.33.151: icmp_seq=93 ttl=53 time=8.97 ms
64 bytes from 104.18.33.151: icmp_seq=94 ttl=53 time=7.97 ms
64 bytes from 104.18.33.151: icmp_seq=95 ttl=53 time=10.3 ms
64 bytes from 104.18.33.151: icmp_seq=96 ttl=53 time=8.39 ms
64 bytes from 104.18.33.151: icmp_seq=97 ttl=53 time=9.41 ms
64 bytes from 104.18.33.151: icmp_seq=98 ttl=53 time=7.42 ms
64 bytes from 104.18.33.151: icmp_seq=99 ttl=53 time=9.52 ms
64 bytes from 104.18.33.151: icmp_seq=100 ttl=53 time=11.2 ms
64 bytes from 104.18.33.151: icmp_seq=101 ttl=53 time=10.2 ms
64 bytes from 104.18.33.151: icmp_seq=102 ttl=53 time=8.03 ms
64 bytes from 104.18.33.151: icmp_seq=103 ttl=53 time=8.58 ms
64 bytes from 104.18.33.151: icmp_seq=104 ttl=53 time=7.69 ms
64 bytes from 104.18.33.151: icmp_seq=105 ttl=53 time=9.43 ms
64 bytes from 104.18.33.151: icmp_seq=106 ttl=53 time=9.04 ms
64 bytes from 104.18.33.151: icmp_seq=107 ttl=53 time=9.19 ms
64 bytes from 104.18.33.151: icmp_seq=108 ttl=53 time=8.52 ms
64 bytes from 104.18.33.151: icmp_seq=109 ttl=53 time=7.69 ms
64 bytes from 104.18.33.151: icmp_seq=110 ttl=53 time=12.9 ms
64 bytes from 104.18.33.151: icmp_seq=111 ttl=53 time=14.6 ms
64 bytes from 104.18.33.151: icmp_seq=112 ttl=53 time=15.5 ms
64 bytes from 104.18.33.151: icmp_seq=113 ttl=53 time=15.2 ms
64 bytes from 104.18.33.151: icmp_seq=114 ttl=53 time=8.49 ms
64 bytes from 104.18.33.151: icmp_seq=115 ttl=53 time=9.42 ms
64 bytes from 104.18.33.151: icmp_seq=116 ttl=53 time=10.8 ms
64 bytes from 104.18.33.151: icmp_seq=117 ttl=53 time=11.4 ms
64 bytes from 104.18.33.151: icmp_seq=118 ttl=53 time=8.88 ms
64 bytes from 104.18.33.151: icmp_seq=119 ttl=53 time=7.99 ms
64 bytes from 104.18.33.151: icmp_seq=120 ttl=53 time=9.32 ms

--- www.clubedochoro.com.br ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119156ms
rtt min/avg/max/mdev = 7.311/9.295/15.551/1.740 ms
