PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=64 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=65 ttl=52 time=8.34 ms
64 bytes from 93.184.220.23: icmp_seq=66 ttl=52 time=7.33 ms
64 bytes from 93.184.220.23: icmp_seq=67 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=68 ttl=52 time=7.18 ms
64 bytes from 93.184.220.23: icmp_seq=69 ttl=52 time=7.25 ms
64 bytes from 93.184.220.23: icmp_seq=70 ttl=52 time=7.69 ms
64 bytes from 93.184.220.23: icmp_seq=71 ttl=52 time=9.37 ms
64 bytes from 93.184.220.23: icmp_seq=72 ttl=52 time=8.66 ms
64 bytes from 93.184.220.23: icmp_seq=73 ttl=52 time=8.19 ms
64 bytes from 93.184.220.23: icmp_seq=74 ttl=52 time=11.0 ms
64 bytes from 93.184.220.23: icmp_seq=75 ttl=52 time=8.37 ms
64 bytes from 93.184.220.23: icmp_seq=76 ttl=52 time=7.18 ms
64 bytes from 93.184.220.23: icmp_seq=77 ttl=52 time=7.62 ms
64 bytes from 93.184.220.23: icmp_seq=78 ttl=52 time=8.35 ms
64 bytes from 93.184.220.23: icmp_seq=79 ttl=52 time=11.9 ms
64 bytes from 93.184.220.23: icmp_seq=80 ttl=52 time=12.1 ms
64 bytes from 93.184.220.23: icmp_seq=81 ttl=52 time=7.75 ms
64 bytes from 93.184.220.23: icmp_seq=82 ttl=52 time=8.83 ms
64 bytes from 93.184.220.23: icmp_seq=83 ttl=52 time=7.07 ms
64 bytes from 93.184.220.23: icmp_seq=84 ttl=52 time=8.16 ms
64 bytes from 93.184.220.23: icmp_seq=85 ttl=52 time=9.23 ms
64 bytes from 93.184.220.23: icmp_seq=86 ttl=52 time=10.2 ms
64 bytes from 93.184.220.23: icmp_seq=87 ttl=52 time=12.1 ms
64 bytes from 93.184.220.23: icmp_seq=88 ttl=52 time=12.1 ms
64 bytes from 93.184.220.23: icmp_seq=89 ttl=52 time=8.62 ms
64 bytes from 93.184.220.23: icmp_seq=90 ttl=52 time=9.32 ms
64 bytes from 93.184.220.23: icmp_seq=91 ttl=52 time=8.03 ms
64 bytes from 93.184.220.23: icmp_seq=92 ttl=52 time=6.97 ms
64 bytes from 93.184.220.23: icmp_seq=93 ttl=52 time=7.61 ms
64 bytes from 93.184.220.23: icmp_seq=94 ttl=52 time=13.5 ms
64 bytes from 93.184.220.23: icmp_seq=95 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=96 ttl=52 time=9.01 ms
64 bytes from 93.184.220.23: icmp_seq=97 ttl=52 time=8.12 ms
64 bytes from 93.184.220.23: icmp_seq=98 ttl=52 time=9.71 ms
64 bytes from 93.184.220.23: icmp_seq=99 ttl=52 time=10.3 ms
64 bytes from 93.184.220.23: icmp_seq=100 ttl=52 time=11.3 ms
64 bytes from 93.184.220.23: icmp_seq=101 ttl=52 time=7.31 ms
64 bytes from 93.184.220.23: icmp_seq=102 ttl=52 time=7.37 ms
64 bytes from 93.184.220.23: icmp_seq=103 ttl=52 time=7.47 ms
64 bytes from 93.184.220.23: icmp_seq=104 ttl=52 time=7.60 ms
64 bytes from 93.184.220.23: icmp_seq=105 ttl=52 time=7.30 ms
64 bytes from 93.184.220.23: icmp_seq=106 ttl=52 time=7.97 ms
64 bytes from 93.184.220.23: icmp_seq=107 ttl=52 time=7.52 ms
64 bytes from 93.184.220.23: icmp_seq=108 ttl=52 time=11.7 ms
64 bytes from 93.184.220.23: icmp_seq=109 ttl=52 time=12.7 ms
64 bytes from 93.184.220.23: icmp_seq=110 ttl=52 time=11.8 ms
64 bytes from 93.184.220.23: icmp_seq=111 ttl=52 time=11.1 ms
64 bytes from 93.184.220.23: icmp_seq=112 ttl=52 time=9.99 ms
64 bytes from 93.184.220.23: icmp_seq=113 ttl=52 time=7.23 ms
64 bytes from 93.184.220.23: icmp_seq=114 ttl=52 time=8.58 ms
64 bytes from 93.184.220.23: icmp_seq=115 ttl=52 time=9.74 ms
64 bytes from 93.184.220.23: icmp_seq=116 ttl=52 time=8.74 ms
64 bytes from 93.184.220.23: icmp_seq=117 ttl=52 time=7.25 ms
64 bytes from 93.184.220.23: icmp_seq=118 ttl=52 time=8.30 ms
64 bytes from 93.184.220.23: icmp_seq=119 ttl=52 time=7.41 ms
64 bytes from 93.184.220.23: icmp_seq=120 ttl=52 time=7.80 ms

--- cs3.gs1.wac.edgecastcdn.net ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119154ms
rtt min/avg/max/mdev = 6.971/8.872/13.557/1.677 ms
