PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=1 ttl=52 time=8.18 ms
64 bytes from 93.184.220.23: icmp_seq=2 ttl=52 time=8.87 ms
64 bytes from 93.184.220.23: icmp_seq=3 ttl=52 time=8.07 ms
64 bytes from 93.184.220.23: icmp_seq=4 ttl=52 time=8.08 ms
64 bytes from 93.184.220.23: icmp_seq=5 ttl=52 time=8.06 ms
64 bytes from 93.184.220.23: icmp_seq=6 ttl=52 time=7.10 ms
64 bytes from 93.184.220.23: icmp_seq=7 ttl=52 time=9.08 ms
64 bytes from 93.184.220.23: icmp_seq=8 ttl=52 time=10.4 ms
64 bytes from 93.184.220.23: icmp_seq=9 ttl=52 time=7.36 ms
64 bytes from 93.184.220.23: icmp_seq=10 ttl=52 time=13.3 ms
64 bytes from 93.184.220.23: icmp_seq=11 ttl=52 time=13.2 ms
64 bytes from 93.184.220.23: icmp_seq=12 ttl=52 time=9.48 ms
64 bytes from 93.184.220.23: icmp_seq=13 ttl=52 time=7.20 ms
64 bytes from 93.184.220.23: icmp_seq=14 ttl=52 time=8.97 ms
64 bytes from 93.184.220.23: icmp_seq=15 ttl=52 time=7.14 ms
64 bytes from 93.184.220.23: icmp_seq=16 ttl=52 time=7.16 ms
64 bytes from 93.184.220.23: icmp_seq=17 ttl=52 time=10.4 ms
64 bytes from 93.184.220.23: icmp_seq=18 ttl=52 time=8.97 ms
64 bytes from 93.184.220.23: icmp_seq=19 ttl=52 time=7.89 ms
64 bytes from 93.184.220.23: icmp_seq=20 ttl=52 time=9.26 ms
64 bytes from 93.184.220.23: icmp_seq=21 ttl=52 time=7.47 ms
64 bytes from 93.184.220.23: icmp_seq=22 ttl=52 time=12.4 ms
64 bytes from 93.184.220.23: icmp_seq=23 ttl=52 time=13.2 ms
64 bytes from 93.184.220.23: icmp_seq=24 ttl=52 time=8.07 ms
64 bytes from 93.184.220.23: icmp_seq=25 ttl=52 time=7.41 ms
64 bytes from 93.184.220.23: icmp_seq=26 ttl=52 time=7.10 ms
64 bytes from 93.184.220.23: icmp_seq=27 ttl=52 time=8.53 ms
64 bytes from 93.184.220.23: icmp_seq=28 ttl=52 time=7.53 ms
64 bytes from 93.184.220.23: icmp_seq=29 ttl=52 time=7.89 ms
64 bytes from 93.184.220.23: icmp_seq=30 ttl=52 time=7.86 ms
64 bytes from 93.184.220.23: icmp_seq=31 ttl=52 time=8.48 ms
64 bytes from 93.184.220.23: icmp_seq=32 ttl=52 time=9.11 ms
64 bytes from 93.184.220.23: icmp_seq=33 ttl=52 time=9.35 ms
64 bytes from 93.184.220.23: icmp_seq=34 ttl=52 time=7.25 ms
64 bytes from 93.184.220.23: icmp_seq=35 ttl=52 time=8.45 ms
64 bytes from 93.184.220.23: icmp_seq=36 ttl=52 time=8.69 ms
64 bytes from 93.184.220.23: icmp_seq=37 ttl=52 time=7.41 ms
64 bytes from 93.184.220.23: icmp_seq=38 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=39 ttl=52 time=7.97 ms
64 bytes from 93.184.220.23: icmp_seq=40 ttl=52 time=8.58 ms
64 bytes from 93.184.220.23: icmp_seq=41 ttl=52 time=7.10 ms
64 bytes from 93.184.220.23: icmp_seq=42 ttl=52 time=7.06 ms
64 bytes from 93.184.220.23: icmp_seq=43 ttl=52 time=7.08 ms
64 bytes from 93.184.220.23: icmp_seq=44 ttl=52 time=12.6 ms
64 bytes from 93.184.220.23: icmp_seq=45 ttl=52 time=8.50 ms
64 bytes from 93.184.220.23: icmp_seq=46 ttl=52 time=9.41 ms
64 bytes from 93.184.220.23: icmp_seq=47 ttl=52 time=7.34 ms
64 bytes from 93.184.220.23: icmp_seq=48 ttl=52 time=7.64 ms
64 bytes from 93.184.220.23: icmp_seq=49 ttl=52 time=9.43 ms
64 bytes from 93.184.220.23: icmp_seq=50 ttl=52 time=9.35 ms
64 bytes from 93.184.220.23: icmp_seq=51 ttl=52 time=7.36 ms
64 bytes from 93.184.220.23: icmp_seq=52 ttl=52 time=7.01 ms
64 bytes from 93.184.220.23: icmp_seq=53 ttl=52 time=10.6 ms
64 bytes from 93.184.220.23: icmp_seq=54 ttl=52 time=9.06 ms
64 bytes from 93.184.220.23: icmp_seq=55 ttl=52 time=7.89 ms
64 bytes from 93.184.220.23: icmp_seq=56 ttl=52 time=9.68 ms
64 bytes from 93.184.220.23: icmp_seq=57 ttl=52 time=10.5 ms
64 bytes from 93.184.220.23: icmp_seq=58 ttl=52 time=8.12 ms
64 bytes from 93.184.220.23: icmp_seq=59 ttl=52 time=9.24 ms
64 bytes from 93.184.220.23: icmp_seq=60 ttl=52 time=10.2 ms
64 bytes from 93.184.220.23: icmp_seq=61 ttl=52 time=7.23 ms
64 bytes from 93.184.220.23: icmp_seq=62 ttl=52 time=7.43 ms
64 bytes from 93.184.220.23: icmp_seq=63 ttl=52 time=9.56 ms
