PING www.clubedochoro.com.br (104.18.33.151) 56(84) bytes of data.
64 bytes from 104.18.33.151: icmp_seq=82 ttl=53 time=8.85 ms
64 bytes from 104.18.33.151: icmp_seq=83 ttl=53 time=7.58 ms
64 bytes from 104.18.33.151: icmp_seq=84 ttl=53 time=7.76 ms
64 bytes from 104.18.33.151: icmp_seq=85 ttl=53 time=9.61 ms
64 bytes from 104.18.33.151: icmp_seq=86 ttl=53 time=11.9 ms
64 bytes from 104.18.33.151: icmp_seq=87 ttl=53 time=10.3 ms
64 bytes from 104.18.33.151: icmp_seq=88 ttl=53 time=8.95 ms
64 bytes from 104.18.33.151: icmp_seq=89 ttl=53 time=10.2 ms
64 bytes from 104.18.33.151: icmp_seq=90 ttl=53 time=11.6 ms
64 bytes from 104.18.33.151: icmp_seq=91 ttl=53 time=7.75 ms
64 bytes from 104.18.33.151: icmp_seq=92 ttl=53 time=8.49 ms
64 bytes from 104.18.33.151: icmp_seq=93 ttl=53 time=10.0 ms
64 bytes from 104.18.33.151: icmp_seq=94 ttl=53 time=7.47 ms
64 bytes from 104.18.33.151: icmp_seq=95 ttl=53 time=10.7 ms
64 bytes from 104.18.33.151: icmp_seq=96 ttl=53 time=13.4 ms
64 bytes from 104.18.33.151: icmp_seq=97 ttl=53 time=7.92 ms
64 bytes from 104.18.33.151: icmp_seq=98 ttl=53 time=16.0 ms
64 bytes from 104.18.33.151: icmp_seq=99 ttl=53 time=8.13 ms
64 bytes from 104.18.33.151: icmp_seq=100 ttl=53 time=8.72 ms
64 bytes from 104.18.33.151: icmp_seq=101 ttl=53 time=11.0 ms
64 bytes from 104.18.33.151: icmp_seq=102 ttl=53 time=7.60 ms
64 bytes from 104.18.33.151: icmp_seq=103 ttl=53 time=7.91 ms
64 bytes from 104.18.33.151: icmp_seq=104 ttl=53 time=7.45 ms
64 bytes from 104.18.33.151: icmp_seq=105 ttl=53 time=7.50 ms
64 bytes from 104.18.33.151: icmp_seq=106 ttl=53 time=8.48 ms
64 bytes from 104.18.33.151: icmp_seq=107 ttl=53 time=8.55 ms
64 bytes from 104.18.33.151: icmp_seq=108 ttl=53 time=10.5 ms
64 bytes from 104.18.33.151: icmp_seq=109 ttl=53 time=12.4 ms
64 bytes from 104.18.33.151: icmp_seq=110 ttl=53 time=13.5 ms
64 bytes from 104.18.33.151: icmp_seq=111 ttl=53 time=14.5 ms
64 bytes from 104.18.33.151: icmp_seq=112 ttl=53 time=13.5 ms
64 bytes from 104.18.33.151: icmp_seq=113 ttl=53 time=11.3 ms
64 bytes from 104.18.33.151: icmp_seq=114 ttl=53 time=9.58 ms
64 bytes from 104.18.33.151: icmp_seq=115 ttl=53 time=9.60 ms
64 bytes from 104.18.33.151: icmp_seq=116 ttl=53 time=7.79 ms
64 bytes from 104.18.33.151: icmp_seq=117 ttl=53 time=7.75 ms
64 bytes from 104.18.33.151: icmp_seq=118 ttl=53 time=7.41 ms
64 bytes from 104.18.33.151: icmp_seq=119 ttl=53 time=8.51 ms
64 bytes from 104.18.33.151: icmp_seq=120 ttl=53 time=7.66 ms

--- www.clubedochoro.com.br ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119160ms
rtt min/avg/max/mdev = 7.347/9.613/17.015/2.134 ms
