PING cs3.gs1.wac.edgecastcdn.net (93.184.220.23) 56(84) bytes of data.
64 bytes from 93.184.220.23: icmp_seq=81 ttl=52 time=12.0 ms
64 bytes from 93.184.220.23: icmp_seq=82 ttl=52 time=6.99 ms
64 bytes from 93.184.220.23: icmp_seq=83 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=84 ttl=52 time=9.75 ms
64 bytes from 93.184.220.23: icmp_seq=85 ttl=52 time=8.09 ms
64 bytes from 93.184.220.23: icmp_seq=86 ttl=52 time=10.6 ms
64 bytes from 93.184.220.23: icmp_seq=87 ttl=52 time=10.9 ms
64 bytes from 93.184.220.23: icmp_seq=88 ttl=52 time=7.07 ms
64 bytes from 93.184.220.23: icmp_seq=89 ttl=52 time=7.81 ms
64 bytes from 93.184.220.23: icmp_seq=90 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=91 ttl=52 time=7.51 ms
64 bytes from 93.184.220.23: icmp_seq=92 ttl=52 time=8.22 ms
64 bytes from 93.184.220.23: icmp_seq=93 ttl=52 time=8.76 ms
64 bytes from 93.184.220.23: icmp_seq=94 ttl=52 time=10.0 ms
64 bytes from 93.184.220.23: icmp_seq=95 ttl=52 time=8.65 ms
64 bytes from 93.184.220.23: icmp_seq=96 ttl=52 time=9.68 ms
64 bytes from 93.184.220.23: icmp_seq=97 ttl=52 time=7.67 ms
64 bytes from 93.184.220.23: icmp_seq=98 ttl=52 time=10.1 ms
64 bytes from 93.184.220.23: icmp_seq=99 ttl=52 time=7.10 ms
64 bytes from 93.184.220.23: icmp_seq=100 ttl=52 time=8.41 ms
64 bytes from 93.184.220.23: icmp_seq=101 ttl=52 time=9.54 ms
64 bytes from 93.184.220.23: icmp_seq=102 ttl=52 time=9.53 ms
64 bytes from 93.184.220.23: icmp_seq=103 ttl=52 time=9.57 ms
64 bytes from 93.184.220.23: icmp_seq=104 ttl=52 time=8.47 ms
64 bytes from 93.184.220.23: icmp_seq=105 ttl=52 time=9.02 ms
64 bytes from 93.184.220.23: icmp_seq=106 ttl=52 time=9.57 ms
64 bytes from 93.184.220.23: icmp_seq=107 ttl=52 time=7.40 ms
64 bytes from 93.184.220.23: icmp_seq=108 ttl=52 time=8.66 ms
64 bytes from 93.184.220.23: icmp_seq=109 ttl=52 time=8.24 ms
64 bytes from 93.184.220.23: icmp_seq=110 ttl=52 time=7.83 ms
64 bytes from 93.184.220.23: icmp_seq=111 ttl=52 time=7.30 ms
64 bytes from 93.184.220.23: icmp_seq=112 ttl=52 time=7.27 ms
64 bytes from 93.184.220.23: icmp_seq=113 ttl=52 time=9.59 ms
64 bytes from 93.184.220.23: icmp_seq=114 ttl=52 time=9.45 ms
64 bytes from 93.184.220.23: icmp_seq=115 ttl=52 time=9.47 ms
64 bytes from 93.184.220.23: icmp_seq=116 ttl=52 time=8.31 ms
64 bytes from 93.184.220.23: icmp_seq=117 ttl=52 time=9.46 ms
64 bytes from 93.184.220.23: icmp_seq=118 ttl=52 time=9.34 ms
64 bytes from 93.184.220.23: icmp_seq=119 ttl=52 time=9.54 ms
64 bytes from 93.184.220.23: icmp_seq=120 ttl=52 time=7.05 ms

--- cs3.gs1.wac.edgecastcdn.net ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119135ms
rtt min/avg/max/mdev = 6.994/8.907/16.589/1.679 ms
